Cluster,quarter,FCG<=2,tot_meb,fatalities,r3s,ramadan_days
Al Hujjaylah,2025Q2,0.770833333,1.186534834,,-1.121,0
Al Hujjaylah,2025Q3,0.72826087,0.994579743,,1.678,0
Al Hujjaylah,2025Q4,0.739130435,1.234795967,,-0.338,0
Al Humaydat,2023Q4,0.592592593,1.122622723,,1.643,
Al Humaydat,2024Q1,0.681818182,1.138800961,,0.612,22
Al Humaydat,2024Q2,0.842105263,1.16141129,1,-0.621,10
Al Humaydat,2024Q3,0.786516854,1.167453316,,1.771,0
Al Humaydat,2024Q4,0.786666667,1.180778345,,2.475,0
Al Humaydat,2025Q1,0.722222222,1.129769223,3,-0.119,30
Al Humaydat,2025Q2,0.8125,1.096933625,,-1.607,0
Al Humaydat,2025Q3,0.739130435,1.173922384,2,1.683,0
Al Humaydat,2025Q4,0.757575758,1.234795967,1,0.116,0
Al Husha,2023Q4,0.714285714,1.127554616,8,0.723,
Al Husha,2024Q1,0.625,1.19441016,9,-0.503,22
Al Husha,2024Q2,0.652631579,1.344589468,,1.464,10
Al Husha,2024Q3,0.7,1.397428731,3,1.879,0
Al Husha,2024Q4,0.757575758,1.378628353,,1.452,0
Al Husha,2025Q1,0.71875,1.336748369,0,-1.188,30
Al Husha,2025Q2,0.760416667,1.215860213,,-1.102,0
Al Husha,2025Q3,0.706521739,1.270102827,3,1.468,0
Al Husha,2025Q4,0.7,1.453167054,,-0.229,0
Al Husn,2023Q4,0,1.004763322,,0.929,
Al Husn,2024Q1,0.2,1.004763322,,-0.333,22
Al Hussein,2023Q4,0.608695652,1.127554616,,0.216,
Al Hussein,2024Q1,0.5,1.19441016,,-0.639,22
Al Ja'fariyyah,2024Q2,0.568421053,0.811652176,,0.342,10
Al Ja'fariyyah,2024Q3,0.567010309,0.846048183,,1.047,0
Al Ja'fariyyah,2024Q4,0.659793814,0.796424296,,1.453,0
Al Ja'fariyyah,2025Q1,0.721649485,0.796739645,,0.09,30
Al Ja'fariyyah,2025Q2,0.78125,0.797047543,,-0.833,0
Al Ja'fariyyah,2025Q3,0.760416667,1.173922384,,0.894,0
Al Ja'fariyyah,2025Q4,0.626373626,1.234795967,0,-0.406,0
Al Jabin,2023Q4,0.585185185,0.921588024,,1.299,
Al Jabin,2024Q1,0.589041096,0.930752048,,0.719,22
Al Jabin,2024Q2,0.679012346,0.98163882,2,-0.139,10
Al Jabin,2024Q3,0.711340206,1.033051054,0,1.018,0
Al Jabin,2024Q4,0.666666667,0.997471755,0,1.347,0
Al Jabin,2025Q1,0.608247423,0.998280191,,0.154,30
Al Jabin,2025Q2,0.65625,0.999070172,0,-0.972,0
Al Jabin,2025Q3,0.704081633,1.173922384,0,0.813,0
Al Jabin,2025Q4,0.666666667,1.234795967,,-0.633,0
Al Jafariyah,2023Q4,0.563758389,0.739787943,,1.144,
Al Jafariyah,2024Q1,0.656626506,0.831656049,,0.747,22
Al Jamimah,2023Q4,0.611111111,1.120629222,,1.833,
Al Jamimah,2024Q1,0.6,1.128366965,,-0.261,22
Al Jamimah,2024Q2,0.736842105,1.154723506,,-0.498,10
Al Jamimah,2024Q3,0.770833333,1.170092437,,1.705,0
Al Jamimah,2024Q4,0.731958763,1.182163517,,1.103,0
Al Jamimah,2025Q1,0.688172043,1.134201207,,0.256,30
Al Jamimah,2025Q2,0.78125,1.129657011,,-1.04,0
Al Jamimah,2025Q3,0.747252747,1.135479122,,1.8,0
Al Jamimah,2025Q4,0.637362637,1.234795967,,-0.399,0
Al Jarrahi,2024Q2,0.6,1.056931718,0,1.463,10
Al Jarrahi,2024Q3,0.614583333,1.092756147,0,0.858,0
Al Jarrahi,2024Q4,0.628865979,1.12200308,0,1.452,0
Al Jarrahi,2025Q1,0.708333333,1.120113309,1,-0.171,30
Al Jarrahi,2025Q2,0.708333333,1.186534834,,-0.94,0
Al Jarrahi,2025Q3,0.589473684,0.994579743,,1.315,0
Al Jarrahi,2025Q4,0.555555556,1.234795967,,0.457,0
Al Jawf-Cluster14,2023Q4,0.571428571,1.122622723,0,1.8115,
Al Jawf-Cluster14,2024Q1,0.68852459,1.138800961,1,-0.0475,22
Al Jawf-Cluster14,2024Q2,0.728571429,1.16141129,1,-0.329,10
Al Jawf-Cluster14,2024Q3,0.744680851,1.167453316,,1.5015,0
Al Jawf-Cluster14,2024Q4,0.71875,1.180778345,1,0.9635,0
Al Jawf-Cluster14,2025Q1,0.720430108,1.129769223,4,-0.4625,30
Al Jawf-Cluster14,2025Q2,0.75,1.096933625,4,-1.561,0
Al Jawf-Cluster14,2025Q3,0.833333333,1.173922384,0,0.923,0
Al Khabt,2023Q4,0.383333333,0.893359767,,2.018,
Al Khabt,2024Q1,0.413793103,0.939868027,,0.571,22
Al Khabt,2024Q2,0.194805195,0.972066232,,-0.328,10
Al Khabt,2024Q3,0.416666667,1.000905277,,1.201,0
Al Khabt,2024Q4,0.350515464,1.101028893,,1.025,0
Al Khabt,2025Q1,0.422680412,1.089242788,,0.953,30
Al Khabt,2025Q2,0.526315789,1.096933625,,-0.839,0
Al Khabt,2025Q3,0.46875,1.173922384,,1.719,0
Al Khabt,2025Q4,0.533333333,1.234795967,,-0.031,0
Al Khalaq,2025Q4,0.765957447,1.234795967,,0.024,0
Al Khawkhah,2023Q4,0,0.897304074,0,0.95,
Al Khawkhah,2024Q1,0.454545455,0.870925182,1,0.717,22
Al Khukhah,2024Q2,0.557894737,0.981781047,0,1.662,10
